摩拜单车怎么不退款回花呗	摩拜单车花呗怎么不给退钱	0
怎么更改花呗邮箱	qq邮箱花呗怎么取消	0
我想取消蚂蚁借呗自动还款	蚂蚁花呗怎么取消自动还款	0
没有实名认证的支付宝账户可以开通花呗吗	关闭之前的花呗可以开通另一账号花呗吗	0
啥时候可以借呗可以恢复	蚂蚁借呗恢复额度最长时间	0
刚提示我有花呗临时额度，在哪里领的	花呗领取的临时额度可以在线下门店使用吗	0
我为什么还不能使用蚂蚁花呗	怎么才能让淘宝蚂蚁花呗可用	0
能不能开通蚂蚁花呗	可以帮我开通蚂蚁花呗么	1
花呗分期还款怎么算手续费	申请花呗分期还款后，提前结清还收每期的手续费吗	0
我花呗超了	我有花呗欠费吗	0
花呗就是贷款麦	我想我是否问花呗借款了	0
商家退款还花呗为什么还款额还是不变	为什么退款后花呗里还有这个账单	1
花呗也不可以用集分宝吗	付款能用现金跟花呗组合吗	0
花呗逾期还款手续费	花呗从未逾期过	0
花呗上个月的为什么不能提前还款	花呗提前还还不到	1
借呗还款都是自动扣款么	借呗一般几点自动扣款	0
花呗分期以后不能使用	花呗钱不够 为什么不能分期	0
用花呗付款有利息和手续费吗	如果不用花呗余额，会扣手续费吗	0
花呗收钱我是开通的	我是淘宝卖家开通蚂蚁花呗需要什么条件	0
借呗能更改还款时间吗	蚂蚁借呗能不能改还款卡号	0
花呗额度必须大于要买东西价钱才能分期吗	比如说我想分期买苹果手机 那是不是就是说我花呗额度必须大于总金额	1
如可提升花呗额度	提现的额度是花呗额度吗	0
借呗利息怎么变低	借呗起息日	0
怎么领取双***花呗临时额度	双***花呗有临时额度嘛	0
蚂蚁花呗可以用双***津贴吗	花呗可与双十一购物津贴一起用吗	1
用花呗支付送流量	花呗消费送的流量	1
花呗变成负数了，会影响我什么吗	为什么花呗余额为啥是负数	0
蚂蚁借呗可以不分期还款么	借呗还款可以先还一部分钱另一部分钱分期还款吗	0
花呗分期设置了一次下个月能重置吗	花呗分期是下个月为第一个月付款吗	0
如何查借呗还款是否还清	借呗还款进度	0
我的退款还没到‘申请提升花呗额度	花呗退款多久额度回来	0
我明白了，网上都说花呗风控冲不了	花呗用不了	0
为什么不能用花呗红包抵扣	使用花呗付款不能用专属红包	0
为什么还了借呗的钱，余额显示少了	为什么我花呗钱少了	0
我的淘宝界面里怎么屏蔽花呗	我的淘宝为什么不用花呗	0
分期可以从花呗扣钱嘛	多少额度才可以使用花呗分期	0
花呗被冻结了怎么恢复	我的花呗被冻结了	0
帮我看一下我什么时候能用花呗	到底什么时候才能使用花呗	1
蚂蚁借呗关闭后再打开	我把蚂蚁借呗关了怎么开通	1
用蚂蚁花呗，但是我已经之前还款过几次了，怎么这个月又让我还这件衣服的款	我现在额度是一万，用了***，再使用这个花呗付款可以吗	0
我的怎么没有花呗的	我怎么没有花呗信息呀	0
华润万家超市可以使用花呗嘛	些可以用花呗消费	0
花呗。送的流量在哪	用花呗付款赠送***m流量在哪提现	1
借呗到了还款日怎么不自动扣款	蚂蚁借呗还款日到期为何没有扣款	1
蚂蚁花呗逾期影响公积金吗	信用卡有过逾期，花呗提额有影响吗	0
我用花呗里面的钱但是你退回来的钱我怎么看不到	付款怎么不是用花呗的	0
我看到看已经退回来了，可花呗上钱还是原来的没有加上去！这是怎么回事	我用花呗买的东西，然后退款了但是没有见到钱	1
怎么开户花呗收款	开通之后仍无法使用花呗收款	0
临时额度过期后会自动从花呗里扣除吗	不是花呗有临时额度吗	0
花呗的额度怎么提升吖	怎么评估花呗额度	0
借呗提前还款会划算吗	借呗提前还款有短信提醒吗	0
但是我申请了退款退货了，钱款是不是自动退回给花呗	本月账单已经还清，可我刚申请退款了，钱退到花呗了怎么办	0
用借呗手机收不到验证码	我现在没用这个手机号了，我用借呗收不到验证码怎么办	0
如果蚂蚁借呗的钱还一半还能借钱出来吗	蚂蚁借呗隔多久才能借钱	0
游戏充值花呗支付	花呗能充值qb	0
***号当天花呗消费是算当月的，还是次月的账单	我一号过后用的花呗支付，是当月还还是下月还	1
花呗分期一个月只能分一次吗	蚂蚁花呗分期账单未还清之前还能分期吗	0
我还借呗欠款。银行卡限额怎么办	花呗提升固定额度怎么还扣银行卡钱	0
明细说我还清了，花呗怎么显示下月要还款***	我退货了，钱已退回花呗，但下月还款账单还要还款，为什么	0
芝麻授权的借呗被我解除了	我不小心取消借呗授权了	0
花呗分期的如何提前还清	花呗分期提前还款影响信用吗	0
怎样改花呗的号码	花呗手机号注册怎么更改	1
借呗逾期已还为什么还有没还的	蚂蚁借呗已还完，为什么还显示未还	0
蚂蚁花呗分期手续费税率	花呗分期提前还款会收取手续费吗	0
额度不够有没有临时额度	花呗额度不够想买的东西没法买	0
花呗分期免息券	蚂蚁花呗怎么申请免息分期付款	0
用蚂蚁花呗支付收不收手续费或者利息	蚂蚁花呗有支付服务费么	1
刚才花呗还款没有成功 但是银行卡已经扣款了 怎么办	我刚刚就是提前还花呗的钱，然后付款之后，短信过来，银行卡里的钱扣掉了，但是花贝显示我还是没有把钱还进去	1
怎样把花呗转到另一个账户	如何把另一个支付宝的花呗额度转回常用账号	1
花呗临时额度到期是不是要还完	花呗临时额度双***	0
我的蚂蚁借呗可以提高吗	我申请了蚂蚁借呗，怎么提现	0
为什么我不能用蚂蚁借呗	为什么我申请了蚂蚁借呗无法开通	0
怎样设置成优先花呗付款	用花呗付款了，在哪设置分期	0
